Ministry Name,About,Minister Name,Contact Info URL
Ministry of Intergovernmental Affairs and International Relations,About,Hon. Wab Kinew,https://www.gov.mb.ca/minister/premier/
"Ministry of Health, Seniors and Long-Term Care","Foster the sustainable growth of Manitoba producers and agri-processors through innovative, reliable supports and services.",Hon. Uzoma Asagwara,https://www.gov.mb.ca/minister/min_health.html/
Ministry of Agriculture,"Manitoba Advanced Education, Skills and Immigration is implementing the government’s policy and programing priorities related to higher education, student support, skills development, and immigration.",Hon. Ron Kostyshyn,https://www.gov.mb.ca/minister/min_agriculture.html/
"Ministry of Justice and Attorney General, Keeper of the Great Seal of the Province of Manitoba","Environment, Climate and Parks's role and mission is to sustainably manage and protect the province's environment and rich biodiversity of natural resources such as water, wildlife and forests by working cooperatively with the public, Indigenous communities, and other agencies, governments and stakeholders to strike a balance between protecting the integrity of the environment and meeting the social and economic needs of Manitobans.",Hon. Matt Wiebe,https://www.gov.mb.ca/minister/min_justice.html/
Ministry of Families,Providing oversight and governance of education and childcare in Manitoba. ,Hon. Nahanni Fontaine,https://www.gov.mb.ca/minister/min_families.html/
"Ministry of Housing, Addictions and Homelessness","To create jobs and economic growth for Manitobans through investment, trade, and a skilled and diverse workforce.",Hon. Bernadette Smith,https://www.gov.mb.ca/minister/min_housing.html/
Ministry of Education and Early Childhood Learning,"The Department of Families is responsible for a wide range of programs and services that are delivered by the department, or by community-based partner organizations. The department is organized into the following divisions:  Administration and Finance, Corporate Services, Child and Youth Services, Community Service Delivery, Manitoba Housing.",Hon. Tracy Schmidt,https://www.gov.mb.ca/minister/min_eecl.html/
Ministry of Natural Resources and Indigenous Futures,"Manitoba Finance is responsible for managing the province's fiscal and financial resources, allocating funds to other governmental departments and promoting an open government and engaged Manitobans.",Hon. Ian Bushie,https://www.gov.mb.ca/minister/min_nrif.html/
Ministry of Labour and Immigration,"Manitoba Health is a department within the Government of Manitoba. The department operates under the provisions of the legislation and responsibilities of the Minister of Health. The legislation, as well as emerging health and health care issues, guide the planning and delivery of health care services for Manitobans.",Hon. Malaya Marcelino,https://www.gov.mb.ca/minister/min_labour.html/
"Ministry of Business, Mining, Trade and Job Creation","To create an integrated, responsive, and accessible system of wellness, mental health, substance use and recovery services and supports that meets the needs of Manitobans.",Hon. Jamie Moses,https://www.gov.mb.ca/minister/min_edit.html/
Ministry of Transportation and Infrastructure,"Manitoba Indigenous Reconciliation and Northern Relations is focused on supporting healthy, safe and sustainable Indigenous communities. Our goals include closing the gap in quality of life between Indigenous people and other Manitobans, particularly in the areas of education, health, housing, economic opportunities and employment. We are also working to enhance food security for Indigenous people, and we are committed to fulfilling constitutional obligations and provincial responsibilities to achieve greater social justice and reconciliation.",Hon. Lisa Naylor,https://www.gov.mb.ca/minister/min_infrastructure.html/
Ministry of Finance,"Transportation and Infrastructure is responsible for the development of transportation policy and legislation, and for the management of the province’s vast infrastructure network. To meet these responsibilities, the department delivers a wide range of programs and services that play a critical role in sustaining the contributions of the transportation sector to Manitoba’s economic growth.",Hon. Adrien Sala,https://www.gov.mb.ca/minister/min_finance.html/
Ministry of Advanced Education and Training,"The Interngovernmental Affairs departement manages Federal-Provincial relations, international relations, and Infrastructure Investment for the province of Manitoba.",Hon. Renée Cable,https://www.gov.mb.ca/minister/min_aet.html/
Ministry of Environment and Climate Change,"Manitoba Justice administers the Crown Law justice systems in Manitoba. On behalf of the province, Manitoba Justice also administrates and enforces over 100 additional provincial statutes relating to civil law, court administration, correctional services, regulatory provisions and related matters.",Hon. Mike Moyes,https://www.gov.mb.ca/minister/min_ecp.html/
Ministry of Municipal and Northern Relations,"The Department works with municipal partners to build strong and healthy communities. This includes building  municipal capacity, supporting and improving community development, planning and permitting, and strengthening collaboration and shared solutions with municipalities.",Hon. Glen Simard,https://www.gov.mb.ca/minister/min_municipal.html/
Ministry of Public Service Delivery,"The Francophone Affairs Secretariat advises the government of Manitoba about Francophone affairs, including the measures to be taken to foster the enhancement of the vitality of Manitoba’s Francophone community and support and assist its development. In fulfilling its mandate, the Secretariat, among other things, guides, monitors and coordinates the implementation of the French-Language Services Policy in a manner consistent with the concept of active offer.",Hon. Mintu Sandhu,https://www.gov.mb.ca/minister/min_public_service.html/
"Ministry of Sport, Culture, Heritage and Tourism","We contribute to a vibrant and prosperous Manitoba by celebrating, developing, supporting and promoting the identity, creativity and well-being of Manitobans, their communities and their province.",Hon. Nellie Kennedy,https://www.gov.mb.ca/minister/min_sch.html/
Ministry of Innovation and New Technology,"Manitoba Status of Women works to advance gender equity across the province. We envision a safe and equitable Manitoba for people of all genders, by seeking to address barriers and eliminate gender based violence.""",Hon. Mike Moroz,https://www.gov.mb.ca/minister/min_int.html/
